project_id,file_name,status,match_status,reason,pages,pages_with_text,text_layer_rate,pdf_tables_extracted,pages_with_tables,md_table_blocks,pdf_table_title_count,matched_title_count,title_complete_rate,checked_rows,complete_rows,partial_rows,missing_rows,skipped_rows,row_complete_rate,md_file,file_id
PL110,PL110_佛山市宇纳电器科技有限公司迁扩建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,70,56,80.0,138,56,0,1,1,100.0,866,816,14,36,1342,94.2,解析文本拼接_表格清洗增强_05_081-100.md,099_佛山市宇纳电器科技有限公司迁扩建项目_01_受理公告或公示版
PL111,PL111_佛山市承帆新材料科技有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,105,69,65.7,169,68,0,57,57,100.0,1039,965,29,45,1349,92.9,解析文本拼接_表格清洗增强_05_081-100.md,100_佛山市承帆新材料科技有限公司新建项目_01_受理公告或公示版
PL112,PL112_广东顺德铁夫汽车配件有限公司迁扩建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,85,77,90.6,208,77,0,65,64,98.5,1282,1137,39,106,1718,88.7,解析文本拼接_表格清洗增强_06_101-120.md,101_广东顺德铁夫汽车配件有限公司迁扩建项目_01_受理公告或公示版
PL113,PL113_佛山市顺腾丰家具配件有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,63,53,84.1,139,54,0,44,44,100.0,772,710,28,34,968,92.0,解析文本拼接_表格清洗增强_06_101-120.md,102_佛山市顺腾丰家具配件有限公司新建项目_01_受理公告或公示版
PL114,PL114_广东顺德优线三维科技有限公司迁扩建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,148,84,56.8,208,82,0,65,65,100.0,1493,1341,68,84,1755,89.8,解析文本拼接_表格清洗增强_06_101-120.md,103_广东顺德优线三维科技有限公司迁扩建项目_01_受理公告或公示版
PL115,PL115_佛山市邦博恩智能科技有限公司新建项目_01_报批稿或报告表.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,73,62,84.9,158,60,0,58,58,100.0,988,890,25,73,1432,90.1,解析文本拼接_表格清洗增强_06_101-120.md,104_佛山市邦博恩智能科技有限公司新建项目_01_报批稿或报告表
PL116,PL116_佛山市加合新材料有限公司新建项目_01_报批稿或报告表.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,93,69,74.2,168,66,0,54,54,100.0,1076,1019,26,31,1190,94.7,解析文本拼接_表格清洗增强_06_101-120.md,105_佛山市加合新材料有限公司新建项目_01_报批稿或报告表
PL117,PL117_思邦自行车配件(佛山)有限公司改扩建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,105,73,69.5,158,71,0,3,2,66.7,1120,1010,29,81,1687,90.2,解析文本拼接_表格清洗增强_06_101-120.md,106_思邦自行车配件（佛山）有限公司改扩建项目_01_受理公告或公示版
PL118,PL118_佛山市顺德区凯和电器有限公司迁扩建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,67,45,67.2,126,45,0,42,42,100.0,717,636,37,44,901,88.7,解析文本拼接_表格清洗增强_06_101-120.md,107_佛山市顺德区凯和电器有限公司迁扩建项目_01_受理公告或公示版
PL119,PL119_佛山志兴盈包装有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,78,63,80.8,154,61,0,1,1,100.0,990,899,31,60,1161,90.8,解析文本拼接_表格清洗增强_06_101-120.md,108_佛山志兴盈包装有限公司新建项目_01_受理公告或公示版
PL119,PL119_佛山志兴盈包装有限公司新建项目_03_报批稿或报告表.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,110,64,58.2,152,62,0,1,0,0.0,916,0,0,916,1201,0.0,解析文本拼接_表格清洗增强_09_161-180.md,156_佛山志兴盈包装有限公司新建项目_03_报批稿或报告表
PL119,PL119_佛山志兴盈包装有限公司新建项目_04_报批稿或报告表.pdf,未匹配md,未匹配md段落,PDF文件未找到对应md段落,,,,,,,,,,,,,,,,,
PL120,PL120_佛山市顺德区昶新塑料制品有限公司搬迁、扩建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,251,242,96.4,688,220,0,2,2,100.0,5119,4931,93,95,5252,96.3,解析文本拼接_表格清洗增强_06_101-120.md,109_佛山市顺德区昶新塑料制品有限公司搬迁、扩建项目_01_受理公告或公示版
PL121,PL121_佛山市宇象汇科技有限公司建设项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,363,357,98.3,737,330,0,1,1,100.0,6128,5901,79,148,6425,96.3,解析文本拼接_表格清洗增强_06_101-120.md,110_佛山市宇象汇科技有限公司建设项目_01_受理公告或公示版
PL122,PL122_广东创卓电器有限公司迁扩建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,116,76,65.5,187,80,0,64,59,92.2,1228,1102,61,65,1635,89.7,解析文本拼接_表格清洗增强_08_141-160.md,148_广东创卓电器有限公司迁扩建项目_01_受理公告或公示版
PL123,PL123_佛山市顺德区湛宏塑料制品有限公司改扩建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,129,90,69.8,228,86,0,78,78,100.0,1653,1542,45,66,2098,93.3,解析文本拼接_表格清洗增强_06_101-120.md,112_佛山市顺德区湛宏塑料制品有限公司改扩建项目_01_受理公告或公示版
PL124,PL124_佛山市智枞电器制造有限公司扩建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,118,75,63.6,206,75,0,82,82,100.0,1389,1284,50,55,1689,92.4,解析文本拼接_表格清洗增强_08_141-160.md,151_佛山市智枞电器制造有限公司扩建项目_01_受理公告或公示版
PL125,PL125_佛山创顺塑胶有限公司建设项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,77,55,71.4,152,55,0,49,49,100.0,850,786,18,46,1318,92.5,解析文本拼接_表格清洗增强_06_101-120.md,114_佛山创顺塑胶有限公司建设项目_01_受理公告或公示版
