project_id,project_name,report_file_name,report_file_type,report_relative_identifier,report_sha256,report_version,parse_status,section_index_status,source_available,notes
PL018,广东台塑智能科技有限公司新建项目,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.json,.json,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版/017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.json,a7b251b5e1c81dfff23a68d2ac7e4751cca882a994cb296e6ce47d87cda0a223,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
PL019,佛山市智龙科技有限公司迁扩建项目,018_佛山市智龙科技有限公司迁扩建项目_01_受理公告或公示版.json,.json,018_佛山市智龙科技有限公司迁扩建项目_01_受理公告或公示版/018_佛山市智龙科技有限公司迁扩建项目_01_受理公告或公示版.json,c51530a8233c17d95e00f26c0a4a69490b4ed15d991aba9d92d1adecbb96ab98,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
PL020,佛山市朗信塑料制品有限公司新建项目,019_佛山市朗信塑料制品有限公司新建项目_01_受理公告或公示版.json,.json,019_佛山市朗信塑料制品有限公司新建项目_01_受理公告或公示版/019_佛山市朗信塑料制品有限公司新建项目_01_受理公告或公示版.json,d4a9b6c6ec07c101925b09e87bb9ca43b841635d42e80e12119b4e841bfa32c6,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
PL021,佛山市顺德区共诺电子元件厂搬迁项目,020_佛山市顺德区共诺电子元件厂搬迁项目_01_受理公告或公示版.json,.json,020_佛山市顺德区共诺电子元件厂搬迁项目_01_受理公告或公示版/020_佛山市顺德区共诺电子元件厂搬迁项目_01_受理公告或公示版.json,1f7d9b65917b32dcaca73d6f3b899a2a0d44d49c18b696102acad0808e82df02,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
PL022,佛山市锐拓新材料有限公司新建项目,021_佛山市锐拓新材料有限公司新建项目_01_受理公告或公示版.json,.json,021_佛山市锐拓新材料有限公司新建项目_01_受理公告或公示版/021_佛山市锐拓新材料有限公司新建项目_01_受理公告或公示版.json,4e0743fe17ff67a5afe23e4b13cb87b8880da1526fc7727cfa1cc01da024989f,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
PL023,佛山市通能达科技有限公司新建项目,022_佛山市通能达科技有限公司新建项目_01_受理公告或公示版.json,.json,022_佛山市通能达科技有限公司新建项目_01_受理公告或公示版/022_佛山市通能达科技有限公司新建项目_01_受理公告或公示版.json,25920921771183d660fc3475517f63f1567557f6f8f9b7d38deca0e5405f2a18,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
PL025,佛山市巨人电器有限公司新建项目,023_佛山市巨人电器有限公司新建项目_01_受理公告或公示版.json,.json,023_佛山市巨人电器有限公司新建项目_01_受理公告或公示版/023_佛山市巨人电器有限公司新建项目_01_受理公告或公示版.json,465ec2ed4614a7271430ea742db22393a66451481741f0f1fdd742f9d10118bc,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
PL026,佛山市黑曜电器科技有限公司新建项目,024_佛山市黑曜电器科技有限公司新建项目_01_报批稿或报告表.json,.json,024_佛山市黑曜电器科技有限公司新建项目_01_报批稿或报告表/024_佛山市黑曜电器科技有限公司新建项目_01_报批稿或报告表.json,556dc5901ea83e5ceb425f0b182d1afbda3fd87c77ce771d73ca9cf9e14748e0,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
PL027,佛山市天隆通塑料制品有限公司新建项目,025_佛山市天隆通塑料制品有限公司新建项目_01_受理公告或公示版.json,.json,025_佛山市天隆通塑料制品有限公司新建项目_01_受理公告或公示版/025_佛山市天隆通塑料制品有限公司新建项目_01_受理公告或公示版.json,685232f71e2360b43b2ae3b7c8655f0afc53ac2beb404b924daef3b05a89952b,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
PL028,佛山市顺德区振峰塑料模具制造有限公司分车间新建项目,026_佛山市顺德区振峰塑料模具制造有限公司分车间新建项目_01_受理公告或公示版.json,.json,026_佛山市顺德区振峰塑料模具制造有限公司分车间新建项目_01_受理公告或公示版/026_佛山市顺德区振峰塑料模具制造有限公司分车间新建项目_01_受理公告或公示版.json,e0b395230a375f16f80b5830425fe199319dac04baf5ec6fd3d50b77dd7dbb96,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
