chunk_id,source_id,chunk_type,content_length,content_sha256
HJ_1122_2020_P001,HJ_1122_2020,parent,4,15837bbde2ba75b75ab25965f9e6bd2f5f6c166fbc4aba20fbeec9cd440efe8d
HJ_1122_2020_P002,HJ_1122_2020,parent,32,b4726327a13f506e66fc61e42b707331736a56a111e68ec3f5d275c7cc5993cd
HJ_1122_2020_P003,HJ_1122_2020,parent,184,4d79cb9a312441452429a0fc0ffb127b9e87546300ef67cfb1db1cb0e93a1dd6
HJ_1122_2020_P004,HJ_1122_2020,parent,10,335f9b418fe172028aaaee5b1068cd041765aa8943c6ffde6c6aaeb691e0dc51
HJ_1122_2020_P005,HJ_1122_2020,parent,10,1057ab80a8eaff2802c5c135a9d00195f3342e112b17772c1303b71db693c8e0
HJ_1122_2020_P006,HJ_1122_2020,parent,25,5f96286e2aea95774cf6b0fbd1e17e26781b273c7f9c4cdd67d8f0c6c5e2b766
HJ_1122_2020_P007,HJ_1122_2020,parent,387,054b231a212a49b3d213f454a599032bf356803500a1af53f1eeb9b442829de3
HJ_1122_2020_P008,HJ_1122_2020,parent,25,5f96286e2aea95774cf6b0fbd1e17e26781b273c7f9c4cdd67d8f0c6c5e2b766
HJ_1122_2020_P009,HJ_1122_2020,parent,60,1540342643660c636673c942be8a6a73e37a47cc080297905e3248cc0a66aad6
HJ_1122_2020_P010,HJ_1122_2020,parent,620,fc8a8edcdda0ed06e419266f19042ecbbc413ef5b5a3a99af5f926302e0820c3
HJ_1122_2020_P011,HJ_1122_2020,parent,546,b96eb85299c029e2e8dbf138167a6f3b7172662c747f68535f5d4d362bfe8e55
HJ_1122_2020_P012,HJ_1122_2020,parent,35,086055176a3f5970bf2e90141b1e37d78eecd8a3d96c68e1b35e7463ee59892a
HJ_1122_2020_P013,HJ_1122_2020,parent,589,c4c6f59aa99b929532acdceb0d99338c0d6533d9ec7e71207846a9b5e8c70bd8
HJ_1122_2020_P014,HJ_1122_2020,parent,2031,b5040a7d5a8bd6a04589e93879d6e9943c945725a2cc8594928476bb204247a2
HJ_1122_2020_P015,HJ_1122_2020,parent,724,f0b5d6d50519253abf3bfac6e82d9aa6f60395b16f3f2fe0ab39cabb9aef92d3
HJ_1122_2020_P016,HJ_1122_2020,parent,12,5c949f7a913dbb1a1a6ce8405ed6af374211f9652ae90302cb7b12d6f21ad34e
HJ_1122_2020_P017,HJ_1122_2020,parent,17,647349438fb97e88716595b88dfbf598c0c0aff9fe875aa38b820ad1f9b6ce9f
HJ_1122_2020_P018,HJ_1122_2020,parent,438,2eca8856501f8314c20efde8c4f82c3dc5a19dbc94650fd240f11ab6281ed00a
HJ_1122_2020_P019,HJ_1122_2020,parent,432,140fe9ae44e37f01d2e86395ff8a874df27ffc7b303f63d85fda15db156b3add
HJ_1122_2020_P020,HJ_1122_2020,parent,14,738881aa60df59d83253b6c0d87b66de68253c4f623823fbab060e724a61bcc5
HJ_1122_2020_P021,HJ_1122_2020,parent,159,bfbac60d9b72834f17187b8af0288313ad4536a9d11436cbd7cf0bf68120fa25
HJ_1122_2020_P022,HJ_1122_2020,parent,3252,d8b1baa982f21832da7836a38df14815eca84d47a8e4559647d2b7629fb21b5a
HJ_1122_2020_P023,HJ_1122_2020,parent,1080,fa1479c914137d61e270a6567484a4f12e16adc2687d5a2234028a78dfe4fe38
HJ_1122_2020_P024,HJ_1122_2020,parent,67,e2f57814efdd7977158141d768f71ab7a8b02e2af077849e248e48ef6680662b
HJ_1122_2020_P025,HJ_1122_2020,parent,353,e5b2bfe32bc0e184e11ad929536cc436f9ce3b5f673c0c809b50bf8b331abfa2
HJ_1122_2020_P026,HJ_1122_2020,parent,261,c45b574da6797d60f8e703a865a27e68ef388dcb31507fb9b61f61df9db1b2ba
HJ_1122_2020_P027,HJ_1122_2020,parent,153,a41ff376aafe52f6ee697badca22f805f70101cdb895b02e00d7ff0ecdaa80b6
HJ_1122_2020_P028,HJ_1122_2020,parent,34,4846a90f4f46f748cb785f052136a07d0f382cf672ecf948783489f4aae10a6c
HJ_1122_2020_P029,HJ_1122_2020,parent,16,22ee273797799b767a163414b19459f7553f2a50a80a2eb5ac512d8dacb63112
HJ_1122_2020_P030,HJ_1122_2020,parent,282,ec473f1dacf48852c637b4034aa3eb9baa2c12ba26bb6b1b4b8ca574c1286cd9
