chunk_id,source_id,chunk_type,content_length,content_sha256
GUIDE_18_P001,GUIDE_18,parent,71,a8b6971cb9572f0084bb4cb6ffa8f8924f768f6827d8c237408c424a4dfe547d
GUIDE_18_P002,GUIDE_18,parent,67,71a1e573bd4b431a8eadba15b37b35e9f8108b74d2097790fc30b42dc32bbbc2
GUIDE_18_P003,GUIDE_18,parent,83,398e7eed79d187464b4ff018b8b63da88d537390ac017feab11f7e031062f42e
GUIDE_18_P004,GUIDE_18,parent,60,6af0f36a28b7a2d5abf4f32123eb410d7dc143977d208c921ed612b2a8a87806
GUIDE_18_C001,GUIDE_18,child,71,
GUIDE_18_C002,GUIDE_18,child,67,
GUIDE_18_C003,GUIDE_18,child,83,
GUIDE_18_C004,GUIDE_18,child,60,
