chunk_id,source_id,chunk_type,content_length,content_sha256
GUIDE_17_P001,GUIDE_17,parent,57,b86722d8768fe11c2ded6f764365c8accea2535ebc57ea4113f60309be9d1638
GUIDE_17_P002,GUIDE_17,parent,149,af498369ba31cb5b8c821dbdb96cbdf0cc5f1d6ab3bc775d878890b71dc91f1f
GUIDE_17_P003,GUIDE_17,parent,52,e569a4923d4992b6d7f454d4ff26eddffca6e4a3a841231c50c6cc2d184a7e3e
GUIDE_17_P004,GUIDE_17,parent,59,66dc867212530e4fcaee0ad1758e20cb65d250014e155dd4cf4f9fc2d8fc3ae8
GUIDE_17_C001,GUIDE_17,child,57,
GUIDE_17_C002,GUIDE_17,child,149,
GUIDE_17_C003,GUIDE_17,child,52,
GUIDE_17_C004,GUIDE_17,child,59,
