chunk_id,source_id,chunk_type,content_length,content_sha256
GB_41616_2022_P001,GB_41616_2022,parent,38,1406db91ef5a39b44176004ec99f6a9a5df49adcc69c6770fdadb76c5e79cae4
GB_41616_2022_P002,GB_41616_2022,parent,15,049640132eac4efb74c785a2cfb0f427e2254213ebba0c1733d381d33f207f30
GB_41616_2022_P003,GB_41616_2022,parent,91,a03b5a6452041f6e3060592b69812b3be51c3323df7ed0cf8971853a6406d691
GB_41616_2022_P004,GB_41616_2022,parent,432,36819b248eb344930419b89142d7b91a3ff9b353edccec3b9679c75a66d819c2
GB_41616_2022_P005,GB_41616_2022,parent,595,6df5878f1ee86f8c336b2f9b65bfd1b3b9160707ed57897c0c7406332a37596e
GB_41616_2022_P006,GB_41616_2022,parent,15,049640132eac4efb74c785a2cfb0f427e2254213ebba0c1733d381d33f207f30
GB_41616_2022_P007,GB_41616_2022,parent,134,1a855eb2a86e58b10838abde433cd26e3d9c6c6448d80231e48fbd69c310d771
GB_41616_2022_P008,GB_41616_2022,parent,2311,f8a1b88e3fd2051b24c4420660e2ef47ec6c09ab8a9595c75a03c83fe1ef1706
GB_41616_2022_P009,GB_41616_2022,parent,26,350810645d26e321dc2a941e9cf93a3030a19fabaaf0317724194696c4293b80
GB_41616_2022_P010,GB_41616_2022,parent,136,c41a92fbfa504d1e242c589bfdd57ce59992759bcdb676a6131ca16ebdc95c74
GB_41616_2022_P011,GB_41616_2022,parent,161,bea5efc3dcc29a95600db524fda4bafa5cee3e1b4c191ca7bb10e980b2f90e64
GB_41616_2022_P012,GB_41616_2022,parent,94,97cf684a3f580f93ad49e1455d901245f9b1e76b93292e6f18bb4ca9e5b449ce
GB_41616_2022_P013,GB_41616_2022,parent,6,5bc9bdf3de71d3e313bbf21be0bf3b67676680991641ece4da20fff217afb763
GB_41616_2022_P014,GB_41616_2022,parent,89,a31d257e9ed7d100d10a94d921565c217bf8787862acc40e014e93091c108825
GB_41616_2022_P015,GB_41616_2022,parent,6,35a556347dd9537233656b7d27719303dd396878982d9a4ac7ddf9088e8f6e18
GB_41616_2022_P016,GB_41616_2022,parent,86,063fdddd4cdbf63eb7dc54c5fc9de0a3aff9f9bf94cbe5089737065317a5e6ee
GB_41616_2022_P017,GB_41616_2022,parent,6,8aca96bd4c1f283888ff54abe73f0a491a9df9c72665509432aaa957189e58a3
GB_41616_2022_P018,GB_41616_2022,parent,61,20fdb95d0c8102cc747df4f2663b9bb27b9dfe6c161f7363a15db8ec1bf6c867
GB_41616_2022_P019,GB_41616_2022,parent,6,cfcf0c48277481e677b95672e5d339405ba8a2ba2e773dca5cb3f520d27c17d2
GB_41616_2022_P020,GB_41616_2022,parent,131,57e5177c632be416bbe3f76ffb6eadb2d820d4f2fa9cc4b4df3b72cc4a554c36
GB_41616_2022_P021,GB_41616_2022,parent,118,bfcd674aba9132c56b33b44664c6867036e0b85df1d25480319f513b71229531
GB_41616_2022_P022,GB_41616_2022,parent,72,d8aba03b6216eaaed63615ce510674f01cbcf953ccc8a81bce8863e5170d742b
GB_41616_2022_P023,GB_41616_2022,parent,7,277a88d548a4c0288ef8746416ab293dad6bc004a6bcff88c556fd95ef581464
GB_41616_2022_P024,GB_41616_2022,parent,61,71ee88e240fb0dd2be40e6c65b615b40480a748f62dbaaa87de434563cbdefb2
GB_41616_2022_P025,GB_41616_2022,parent,7,9c6f425222adecc9e133efaeeb2b9e7b66a662d60f277a1e2fbf1d0071e25f2a
GB_41616_2022_P026,GB_41616_2022,parent,81,106b0e8b1ec8986c3e8f30a8620f0758f8f45bd08faece166fa83bd272b57f04
GB_41616_2022_P027,GB_41616_2022,parent,97,301ce4b0be13edc411f9f42955bc1db04a035eaf4ed0181327911bfba57ef3aa
GB_41616_2022_P028,GB_41616_2022,parent,66,5ea250593e9647fa0d5ffac53e88a46aed6597ecf07bcfdbb630ad16f5f229cb
GB_41616_2022_P029,GB_41616_2022,parent,74,5f5eac1a20e5d27f1bb9d2126e9ada2d4370a3038395452f614c8fac946848e0
GB_41616_2022_P030,GB_41616_2022,parent,2581,8f391eff8a0adfbf5846022f1a5d1a8e522e74f7f69dfd447d2bc6163e3955b8
GB_41616_2022_P031,GB_41616_2022,parent,14,6205be7a0a20f4dab0f5dc9f146e28f3fa51d32038bac1a1fb23dbaf2946bf8e
GB_41616_2022_P032,GB_41616_2022,parent,67,c53cb1f8be2356f707aabd77430978f23002303f181c14840bd2b962446267ad
GB_41616_2022_P033,GB_41616_2022,parent,226,b4b4519dfe4f775543dc198ef2c022f4e832ce615f9d11bb5861d7a2b7970b7b
GB_41616_2022_P034,GB_41616_2022,parent,76,88522f88b19993126af89bb4f96837526bf37c4b36e2df6637328f27b138e6d9
GB_41616_2022_P035,GB_41616_2022,parent,294,7a4303246d18c926fcb64b96cc385f2b430a2db5eee5e9e0f269641ee8d95575
GB_41616_2022_P036,GB_41616_2022,parent,85,8c52bf5546cf46e5003b6677910aaf7918a97858e26acade981eb35c0486a792
GB_41616_2022_P037,GB_41616_2022,parent,97,baa8315ef64e4daeec19f126041013fc28b65f5559aa946023b2a14837556c5e
GB_41616_2022_P038,GB_41616_2022,parent,570,af3c43b2adab28de13faa3cc6cb89e39c3c7b7ef8c7f584a17db7c79947c5511
GB_41616_2022_P039,GB_41616_2022,parent,72,466df1de1e073417ccb42084b0211b573da48c12d4cbf5d156d4f473974634bd
GB_41616_2022_P040,GB_41616_2022,parent,635,ae291a612930a17d5fc5e0e56a3d59cfd627e5aa2cabd0ef36e90a9b51e6ce28
GB_41616_2022_P041,GB_41616_2022,parent,12,fa0058cc648e471b7252c1238140b9a7ac1f14b142b2c4106d267c77e08ebd81
GB_41616_2022_P042,GB_41616_2022,parent,294,2496c76be0839df2a88f5cf8b1f0d24ad35f538f7f2b83a99c435a36b9e27723
GB_41616_2022_P043,GB_41616_2022,parent,2973,d96107261863f2f63415de2e96b9ed38e10ce6069282be5c55054a64afe696f4
GB_41616_2022_P044,GB_41616_2022,parent,330,30c1df950a5cdc7bb0f50046e6894e25a63428787b1238aa52fcad48dd080cf3
GB_41616_2022_P045,GB_41616_2022,parent,16,fd34f6ebcc461fb36c02a3ff1d5f3396998aebdfd2974db9c9fb291ad93756b1
GB_41616_2022_P046,GB_41616_2022,parent,14,f07f734fc4732e959c4e84beabf1bbcb61149a40feeb42a32f5796ef02cdd6f2
GB_41616_2022_P047,GB_41616_2022,parent,490,c4cdc7b8c2c7e040bb9185dbbed94bd20ff1823510e0580ca12d414ef53383a9
GB_41616_2022_P048,GB_41616_2022,parent,278,a4bb9d8d7135f47771c9ffeb0e8f1d3db83dbfaf507f2014f265fd1c5b1d2698
GB_41616_2022_C001,GB_41616_2022,child,38,
GB_41616_2022_C002,GB_41616_2022,child,15,
GB_41616_2022_C003,GB_41616_2022,child,91,
GB_41616_2022_C004,GB_41616_2022,child,432,
GB_41616_2022_C005,GB_41616_2022,child,595,
GB_41616_2022_C006,GB_41616_2022,child,15,
GB_41616_2022_C007,GB_41616_2022,child,134,
GB_41616_2022_C008,GB_41616_2022,child,900,
GB_41616_2022_C009,GB_41616_2022,child,900,
GB_41616_2022_C010,GB_41616_2022,child,811,
GB_41616_2022_C011,GB_41616_2022,child,26,
GB_41616_2022_C012,GB_41616_2022,child,136,
GB_41616_2022_C013,GB_41616_2022,child,161,
GB_41616_2022_C014,GB_41616_2022,child,94,
GB_41616_2022_C015,GB_41616_2022,child,6,
GB_41616_2022_C016,GB_41616_2022,child,89,
GB_41616_2022_C017,GB_41616_2022,child,6,
GB_41616_2022_C018,GB_41616_2022,child,86,
