project_id,project_name,evidence_type,evidence_id,source_location,value,extra,quote,source_file
PL001,佛山市亮正新材料有限公司新建项目,E1,E1-1,"{""section"": ""一、建设项目基本情况"", ""table_number"": null, ""table_name"": null, ""field_name"": ""国民经济行业类别""}",国民经济行业类别 C2223 加工纸制造C2921塑料薄膜制造,,国民经济行业类别 C2223 加工纸制造C2921塑料薄膜制造,PL001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx
PL001,佛山市亮正新材料有限公司新建项目,E3,E3-1,"{""section"": ""二、建设项目工程分析"", ""table_number"": ""表2-2"", ""table_name"": ""变更前后项目基本情况一览表"", ""field_name"": ""物料名称""}",与项目有关的原有环境污染问题 | 本项目为新建项目，租赁已建成的工业厂房简单装修后进行生产，不存在与项目有关的原有环境污染问题。,,与项目有关的原有环境污染问题 | 本项目为新建项目，租赁已建成的工业厂房简单装修后进行生产，不存在与项目有关的原有环境污染问题。,PL001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx
PL001,佛山市亮正新材料有限公司新建项目,E4,E4-1,"{""section"": ""二、建设项目工程分析"", ""table_number"": null, ""table_name"": null, ""field_name"": ""工艺流程简述/生产工艺流程""}",搅拌、上胶、涂布、复合、印刷、熟化、包装,,工艺流程简述：项目将水性丙烯酸酯压敏胶和和合成硅油309按2:1的比例使用胶水搅拌机混合均匀，转移至涂布机的上胶槽体中，将牛皮纸嵌入涂布机辊轴，在辊轴的带动下牛皮纸的一面进行上胶，然后经辊轴流水线进入涂布机配套的复合熟化线进行复合，熟化温度为100℃，完成熟化后经流水线辊轴进入水墨印刷机，印制客户定制的图标，最后使用在复卷机嵌入纸管进行收卷，收卷完成后即可使用打扎机打包，形成成品。保护膜生产流程图2-3 保护膜生产流程图保护膜工艺流程简述：项目将浓缩高氨天然乳胶和和液体萜烯树脂按1.04:1的比例使用胶水搅拌机混合均匀，转移至涂布机的上胶槽体中，将保护膜原膜（PE）嵌入涂布机辊轴，在辊轴的带…,PL001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx
PL002,佛山市顺德区启卓工程塑料实业有限公司搬迁项目,E1,E1-1,"{""section"": ""一、建设项目基本情况"", ""table_number"": null, ""table_name"": null, ""field_name"": ""国民经济行业类别""}",国民经济行业类别 C2929 塑料零件及其他塑料制品制造,,国民经济行业类别 C2929 塑料零件及其他塑料制品制造,PL002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料.docx
PL002,佛山市顺德区启卓工程塑料实业有限公司搬迁项目,E4,E4-1,"{""section"": ""二、建设项目工程分析"", ""table_number"": null, ""table_name"": null, ""field_name"": ""工艺流程简述/生产工艺流程""}",配料、混料、注塑、挤出、冷却、破碎、包装,,工艺流程简述：PP、PC、PA、PPT、PET新粒料、玻璃纤维、色母（粒料）经人工配料后按比例加入混料机进行混料，混好料后加入拉料机进行拉粒加工，原料塑料粒在双螺杆机挤出机组内于约200℃的温度下挤出成型，胶条过拉粒机配套冷水槽冷却成条，使用冷却塔进行辅助冷却，双螺杆机挤出机组配套切粒机将胶条切成粒。拉料后，项目需要采用极少量（0.1%）的成品利用注塑检测设备或挤出检测机进行注塑或挤出生产成型塑料件，塑料件用于检测产品性能。经检测合格后包装即为成品。其中，检测过程中产生的废试样品经过破碎机破碎后，再与新料进行混料回用于生产。备注：项目使用的原料PP、PC、PA、PPT、PET均为新粒料，不使…,PL002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料.docx
PL003,佛山市顺德区康明新材料厂新建项目,E1,E1-1,"{""section"": ""一、建设项目基本情况"", ""table_number"": null, ""table_name"": null, ""field_name"": ""国民经济行业类别""}",国民经济行业类别 C2921塑料薄膜制造,,国民经济行业类别 C2921塑料薄膜制造,PL003_佛山市顺德区康明新材料厂新建项目_01_核查材料.docx
PL003,佛山市顺德区康明新材料厂新建项目,E4,E4-1,"{""section"": ""二、建设项目工程分析"", ""table_number"": null, ""table_name"": null, ""field_name"": ""工艺流程简述/生产工艺流程""}",混料、投料、吹膜、涂布、冷却、包装,,生产工艺流程和产污环节详见图2-3所示。原辅材料工艺流程机械设备水污染物涂布涂布机吹膜投料PE塑胶粒噪声、非甲烷总烃、臭气浓度、冷却废水吹膜机、冷却塔废包装袋人工噪声、非甲烷总烃、总VOCs、废包装桶、废抹布混料吹膜机噪声防护胶涂布胶烘干噪声、非甲烷总烃、总VOCs涂布机分切噪声、边角料分切机复卷噪声复卷机抽检次品人工成品原辅材料工艺流程机械设备水污染物涂布涂布机吹膜投料PE塑胶粒噪声、非甲烷总烃、臭气浓度、冷却废水吹膜机、冷却塔废包装袋人工噪声、非甲烷总烃、总VOCs、废包装桶、废抹布混料吹膜机噪声防护胶涂布胶烘干噪声、非甲烷总烃、总VOCs涂布机分切噪声、边角料分切机复卷噪声复卷机抽检次…,PL003_佛山市顺德区康明新材料厂新建项目_01_核查材料.docx
PL004,恒励新材料科技(佛山)有限公司新建项目,E1,E1-1,"{""section"": ""一、建设项目基本情况"", ""table_number"": null, ""table_name"": null, ""field_name"": ""国民经济行业类别""}",国民经济行业类别 C2929 塑料零件及其他塑料制品制造,,国民经济行业类别 C2929 塑料零件及其他塑料制品制造,PL004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料.docx
PL004,恒励新材料科技(佛山)有限公司新建项目,E3,E3-1,"{""section"": ""二、建设项目工程分析"", ""table_number"": ""表2-2"", ""table_name"": ""项目基本情况一览表"", ""field_name"": ""物料名称""}",与项目有关的原有环境污染问题 | 本项目为新建，租赁已建的工业厂房简单装修后进行生产，没有与项目有关的原有环境污染问题。,,与项目有关的原有环境污染问题 | 本项目为新建，租赁已建的工业厂房简单装修后进行生产，没有与项目有关的原有环境污染问题。,PL004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料.docx
PL004,恒励新材料科技(佛山)有限公司新建项目,E4,E4-1,"{""section"": ""二、建设项目工程分析"", ""table_number"": null, ""table_name"": null, ""field_name"": ""工艺流程简述/生产工艺流程""}",配料、混料、投料、挤出、冷却、包装,,工艺流程简述：项目外购SEBS、增粘树脂均为新料粒料，人工入料到储料罐通过自动系统按比例进行配料，经吸料机在空压机的动力辅助下吸入双螺杆挤出机料桶在双螺杆机挤出机组内于约200℃的温度下挤出成型，胶条水下切粒系统冷却切粒，使用冷水机进行辅助冷却。切粒后的塑料经振动机筛选出合格粒料，次品收集后返回投料混料工序回用于生产中。合格粒料即成为成品。本项目利用冷水机将冷却用水接入水下切粒系统内，对水槽中的水进行循环冷却，定期排水经沉淀池处理达到《城市污水再生利用城市杂用水水质》(GB/T18920-2020)表1城市杂用水质基本控制项目及冲厕、车辆冲洗限值后，回用于冲厕后与生活污水一起经三级化粪池处理…,PL004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料.docx
